level,cut_weight,num_clusters,border_pairs,border_edge_count,border_weight_sum
60,203.0,74,1384,5871,5871.0
61,204.0,75,1410,6070,6070.0
62,206.0,77,1479,6469,6469.0
63,214.0,78,1505,6680,6680.0
64,228.0,79,1553,6905,6905.0
65,229.0,80,1601,7127,7127.0
66,231.0,81,1652,7353,7353.0
67,232.0,82,1694,7579,7579.0
68,234.0,83,1727,7805,7805.0
69,235.0,84,1761,8028,8028.0
70,243.0,85,1805,8265,8265.0
71,245.0,86,1837,8509,8509.0
72,248.0,87,1875,8757,8757.0
73,265.0,88,1910,9014,9014.0
74,276.0,89,1949,9275,9275.0
75,277.0,90,1990,9546,9546.0
76,281.0,91,2041,9820,9820.0
77,284.0,92,2074,10096,10096.0
78,298.0,94,2154,10673,10673.0
79,308.0,95,2201,10976,10976.0
80,322.0,96,2231,11288,11288.0
81,344.0,97,2281,11603,11603.0
82,347.0,98,2321,11931,11931.0
83,365.0,99,2378,12285,12285.0
84,380.0,100,2414,12659,12659.0
85,389.0,101,2456,13047,13047.0
86,393.0,102,2500,13436,13436.0
87,404.0,103,2544,13839,13839.0
88,411.0,104,2597,14238,14238.0
89,423.0,105,2635,14654,14654.0
90,483.0,106,2686,15127,15127.0
91,509.0,107,2744,15635,15635.0
92,514.0,108,2781,16142,16142.0
93,552.0,109,2833,16669,16669.0
94,554.0,110,2883,17198,17198.0
95,586.0,111,2921,17758,17758.0
96,614.0,112,2983,18348,18348.0
97,618.0,113,3046,18937,18937.0
