u,v,weight_sum,edge_count,multi_sum
0_213,0_226,9.0,9,9
0_213,0_217,90.0,90,93
0_213,0_216,41.0,41,41
0_213,0_231,10.0,10,10
0_213,0_235,2.0,2,2
0_213,0_225,3.0,3,3
0_213,0_237,4.0,4,4
0_213,0_224,2.0,2,2
0_213,0_229,3.0,3,3
0_213,0_214,5.0,5,6
0_213,0_233,4.0,4,4
0_214,0_223,2.0,2,2
0_214,0_225,3.0,3,3
0_214,0_220,13.0,13,13
0_214,0_217,14.0,14,14
0_214,0_215,9.0,9,9
0_214,0_216,9.0,9,9
0_214,0_230,6.0,6,6
0_214,0_219,2.0,2,2
0_214,0_229,2.0,2,2
0_214,0_231,4.0,4,4
0_214,0_236,1.0,1,1
0_214,0_237,1.0,1,1
0_214,0_228,1.0,1,1
0_214,0_226,1.0,1,1
0_214,0_233,1.0,1,1
0_214,0_232,1.0,1,1
0_215,0_216,365.0,365,370
0_215,0_220,75.0,75,75
0_215,0_218,11.0,11,11
0_215,0_217,125.0,125,128
0_215,0_223,5.0,5,5
0_215,0_225,2.0,2,2
0_215,0_231,10.0,10,10
0_215,0_236,1.0,1,1
0_215,0_230,14.0,14,14
0_215,0_234,4.0,4,4
0_215,0_221,8.0,8,8
0_215,0_228,2.0,2,4
0_215,0_219,1.0,1,1
0_215,0_229,1.0,1,1
0_215,0_226,3.0,3,3
0_215,0_232,2.0,2,2
0_215,0_224,1.0,1,1
0_215,0_227,1.0,1,1
0_215,0_237,1.0,1,1
0_215,0_233,1.0,1,1
0_216,0_218,24.0,24,25
0_216,0_217,178.0,178,178
0_216,0_220,96.0,96,96
0_216,0_231,17.0,17,17
0_216,0_225,2.0,2,2
0_216,0_227,3.0,3,3
0_216,0_230,31.0,31,31
0_216,0_223,9.0,9,9
0_216,0_221,7.0,7,7
0_216,0_234,11.0,11,11
0_216,0_233,1.0,1,1
0_216,0_228,5.0,5,5
0_216,0_237,3.0,3,4
0_216,0_219,3.0,3,3
0_216,0_222,1.0,1,1
0_216,0_226,3.0,3,3
0_216,0_229,2.0,2,2
0_216,0_236,2.0,2,2
0_216,0_224,1.0,1,1
0_216,0_235,1.0,1,1
0_217,0_218,20.0,20,20
0_217,0_234,18.0,18,18
0_217,0_219,8.0,8,8
0_217,0_220,191.0,191,194
0_217,0_226,11.0,11,12
0_217,0_223,13.0,13,13
0_217,0_225,4.0,4,4
0_217,0_236,11.0,11,11
0_217,0_230,34.0,34,34
0_217,0_228,19.0,19,19
0_217,0_231,14.0,14,14
0_217,0_221,15.0,15,15
0_217,0_237,5.0,5,5
0_217,0_227,7.0,7,7
0_217,0_233,5.0,5,5
0_217,0_229,5.0,5,7
0_217,0_224,3.0,3,3
0_217,0_232,3.0,3,3
0_217,0_235,1.0,1,1
0_217,0_222,1.0,1,1
0_218,0_220,5.0,5,5
0_218,0_236,4.0,4,4
0_218,0_230,1.0,1,1
0_218,0_225,1.0,1,1
0_219,0_223,84.0,84,87
0_219,0_221,59.0,59,60
0_219,0_236,22.0,22,22
0_219,0_231,164.0,164,170
0_219,0_220,204.0,204,209
0_219,0_227,12.0,12,12
0_219,0_232,13.0,13,13
0_219,0_222,8.0,8,8
0_219,0_229,33.0,33,33
0_219,0_233,13.0,13,13
0_219,0_234,21.0,21,21
0_219,0_230,59.0,59,63
0_219,0_226,21.0,21,23
0_219,0_225,19.0,19,22
0_219,0_228,23.0,23,23
0_219,0_224,24.0,24,25
0_219,0_235,5.0,5,5
0_219,0_237,9.0,9,9
0_220,0_231,887.0,887,898
0_220,0_223,546.0,546,563
0_220,0_225,187.0,187,195
0_220,0_234,179.0,179,182
0_220,0_235,68.0,68,71
0_220,0_230,463.0,463,476
0_220,0_228,124.0,124,128
0_220,0_221,429.0,429,449
0_220,0_236,221.0,221,226
0_220,0_227,126.0,126,131
0_220,0_224,177.0,177,183
0_220,0_226,177.0,177,181
0_220,0_222,67.0,67,68
0_220,0_237,47.0,47,47
0_220,0_229,169.0,169,169
0_220,0_233,76.0,76,81
0_220,0_232,117.0,117,118
0_221,0_231,375.0,375,387
0_221,0_234,56.0,56,57
0_221,0_223,255.0,255,261
0_221,0_236,155.0,155,157
0_221,0_225,76.0,76,80
0_221,0_224,99.0,99,101
0_221,0_229,112.0,112,115
0_221,0_222,16.0,16,17
0_221,0_227,30.0,30,32
0_221,0_233,38.0,38,38
0_221,0_230,189.0,189,196
0_221,0_232,57.0,57,58
0_221,0_228,40.0,40,43
0_221,0_226,52.0,52,55
0_221,0_237,21.0,21,22
0_221,0_235,13.0,13,15
0_222,0_236,14.0,14,17
0_222,0_223,39.0,39,40
0_222,0_231,58.0,58,62
0_222,0_234,8.0,8,8
0_222,0_226,3.0,3,3
0_222,0_230,15.0,15,15
0_222,0_228,3.0,3,3
0_222,0_225,6.0,6,6
0_222,0_224,8.0,8,8
0_222,0_232,4.0,4,4
0_222,0_227,2.0,2,2
0_222,0_229,7.0,7,7
0_222,0_235,2.0,2,2
0_222,0_233,3.0,3,3
0_222,0_237,2.0,2,2
0_223,0_225,107.0,107,108
0_223,0_234,76.0,76,76
0_223,0_230,223.0,223,227
0_223,0_231,587.0,587,612
0_223,0_236,88.0,88,90
0_223,0_224,95.0,95,97
0_223,0_229,158.0,158,159
0_223,0_237,30.0,30,32
0_223,0_226,85.0,85,87
0_223,0_235,30.0,30,31
0_223,0_227,52.0,52,53
0_223,0_232,52.0,52,55
0_223,0_228,71.0,71,76
0_223,0_233,47.0,47,47
0_224,0_231,167.0,167,171
0_224,0_236,50.0,50,54
0_224,0_225,23.0,23,25
0_224,0_230,53.0,53,57
0_224,0_227,15.0,15,15
0_224,0_237,9.0,9,9
0_224,0_233,14.0,14,14
0_224,0_232,17.0,17,18
0_224,0_229,47.0,47,47
0_224,0_228,9.0,9,9
0_224,0_234,24.0,24,25
0_224,0_226,19.0,19,19
0_224,0_235,8.0,8,9
0_225,0_230,67.0,67,70
0_225,0_231,160.0,160,168
0_225,0_234,26.0,26,28
0_225,0_237,12.0,12,12
0_225,0_229,32.0,32,32
0_225,0_228,21.0,21,22
0_225,0_236,30.0,30,30
0_225,0_233,14.0,14,14
0_225,0_232,9.0,9,10
0_225,0_235,8.0,8,8
0_225,0_227,10.0,10,12
0_225,0_226,21.0,21,23
0_226,0_234,27.0,27,29
0_226,0_228,23.0,23,23
0_226,0_231,138.0,138,143
0_226,0_229,26.0,26,28
0_226,0_230,69.0,69,72
0_226,0_236,29.0,29,30
0_226,0_233,16.0,16,17
0_226,0_232,16.0,16,17
0_226,0_227,12.0,12,12
0_226,0_237,13.0,13,15
0_226,0_235,10.0,10,12
0_227,0_231,105.0,105,105
0_227,0_230,29.0,29,31
0_227,0_236,14.0,14,14
0_227,0_237,5.0,5,5
0_227,0_229,13.0,13,13
0_227,0_234,8.0,8,10
0_227,0_232,7.0,7,7
0_227,0_235,4.0,4,4
0_227,0_228,6.0,6,6
0_227,0_233,1.0,1,1
0_228,0_235,8.0,8,9
0_228,0_231,103.0,103,110
0_228,0_230,59.0,59,61
0_228,0_237,8.0,8,8
0_228,0_236,17.0,17,17
0_228,0_233,11.0,11,12
0_228,0_234,17.0,17,17
0_228,0_232,14.0,14,15
0_228,0_229,13.0,13,13
0_229,0_231,224.0,224,228
0_229,0_237,16.0,16,16
0_229,0_234,24.0,24,24
0_229,0_236,49.0,49,50
0_229,0_233,14.0,14,14
0_229,0_230,69.0,69,74
0_229,0_232,29.0,29,32
0_229,0_235,10.0,10,10
0_230,0_234,91.0,91,96
0_230,0_236,68.0,68,70
0_230,0_231,347.0,347,358
0_230,0_233,34.0,34,34
0_230,0_237,37.0,37,37
0_230,0_232,42.0,42,44
0_230,0_235,21.0,21,22
0_231,0_236,146.0,146,150
0_231,0_232,78.0,78,81
0_231,0_234,151.0,151,160
0_231,0_233,52.0,52,54
0_231,0_237,45.0,45,46
0_231,0_235,53.0,53,57
0_232,0_236,23.0,23,23
0_232,0_237,7.0,7,7
0_232,0_235,5.0,5,5
0_232,0_234,15.0,15,15
0_232,0_233,8.0,8,8
0_233,0_234,13.0,13,13
0_233,0_236,19.0,19,22
0_233,0_237,4.0,4,4
0_233,0_235,2.0,2,2
0_234,0_236,23.0,23,23
0_234,0_235,9.0,9,11
0_234,0_237,13.0,13,14
0_235,0_236,6.0,6,7
0_235,0_237,1.0,1,2
0_236,0_237,7.0,7,7
